Dates,Prev. % GBMSM sx activity grp 1 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 1 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 1 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 2 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 2 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 2 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 3 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 3 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 3 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 4 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 4 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 4 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 5 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 5 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 5 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 6 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 6 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 6 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 7 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 7 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 7 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 8 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 8 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 8 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 9 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 9 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 9 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 10 (post. mean; 12wk reversion),Prev. % GBMSM sx activity grp 10 (post. 10%; 12wk reversion),Prev. % GBMSM sx activity grp 10 (post. 90%; 12wk reversion),Prev. % GBMSM sx activity grp 1 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 1 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 1 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 2 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 2 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 2 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 3 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 3 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 3 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 4 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 4 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 4 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 5 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 5 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 5 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 6 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 6 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 6 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 7 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 7 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 7 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 8 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 8 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 8 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 9 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 9 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 9 (post. 90%; 4wk reversion),Prev. % GBMSM sx activity grp 10 (post. mean; 4wk reversion),Prev. % GBMSM sx activity grp 10 (post. 10%; 4wk reversion),Prev. % GBMSM sx activity grp 10 (post. 90%; 4wk reversion),Prev. % GBMSM overall (post. mean; 4wk reversion),Prev. % GBMSM overall (post. 10%; 4wk reversion),Prev. % GBMSM overall (post. 90%; 4wk reversion),Prev. % GBMSM overall (post. mean; 12wk reversion),Prev. % GBMSM overall (post. 10%; 12wk reversion),Prev. % GBMSM overall (post. 90%; 12wk reversion),Prev. % non-GBMSM overall (post. mean; 4wk reversion),Prev. % non-GBMSM overall (post. 10%; 4wk reversion),Prev. % non-GBMSM overall (post. 90%; 4wk reversion),Prev. % non-GBMSM overall (post. mean; 12wk reversion),Prev. % non-GBMSM overall (post. 10%; 12wk reversion),Prev. % non-GBMSM overall (post. 90%; 12wk reversion)
2022-05-09,0.05166055051688755,0.005362965259465462,0.12944410481263136,0.20499325914816097,0.02388422080041264,0.5008752239467179,0.5404513231397123,0.07293687768844341,1.243330641662331,1.0511355345727436,0.17580457176329545,2.27352983698176,1.6555169551322946,0.36645034571996254,3.2444949840282815,2.2936294094174667,0.5989258725676975,4.420643345142529,3.0010428886561518,0.8524176498934569,5.647266930544152,3.8553229832688882,1.027289201491153,7.564584120071217,5.055367567397626,1.2435754974149718,10.430489484568062,6.642938602631393,1.4871140816278023,14.37543612240209,0.0519242296421446,0.005362965259465462,0.13049882131365959,0.20654920056449755,0.023113762064915458,0.5115846003701289,0.5479662527708784,0.07050564843216196,1.3179693798301721,1.0689231899943656,0.17580457176329545,2.3802683269809033,1.6677225704935827,0.36645034571996254,3.5235610165381015,2.296010852767914,0.5704055929216166,4.677325861957256,3.006317222864868,0.799141546775116,5.860371343017516,3.886795388805481,1.027289201491153,7.854092895036897,5.029563375826264,1.2435754974149718,10.570391728027259,6.685569206304724,1.4871140816278023,14.400221357095864,0.17222907868813242,0.030873811673691815,0.39775826423198585,0.1708082787554266,0.031149822761451503,0.3809084444935129,0.00014544796916711,1.203746764121804e-5,0.000377675547243216,0.00014407344083082843,1.203746764121804e-5,0.0003791802306983683
2022-05-16,0.0559270575290553,0.008044447889198194,0.13586178657312503,0.2192925880496209,0.03390018436187601,0.5100436828991345,0.5672884472851751,0.10454285802010221,1.2547574191668545,1.08912501891038,0.23859191882161526,2.235229555276185,1.7021970914793916,0.44960638571026185,3.327651024018582,2.3733150707486166,0.6559664318598591,4.452015652753215,3.2160652408417767,0.8524176498934569,6.238631675157733,4.267312648030545,1.027289201491153,8.965433031195516,5.713840793278853,1.0881285602381003,12.606746605044261,7.55044997094476,1.2392617346898354,17.349664285657695,0.05611494007864524,0.008223213397847042,0.13407413148663655,0.22091671506404895,0.03544110183287037,0.5209071510696446,0.5751242991781702,0.10454285802010221,1.2982764228542927,1.0995791121955902,0.24487065352744725,2.3112022452167515,1.7043323694554138,0.4369215660507246,3.3826185758765774,2.3807160833167744,0.6559664318598591,4.677325861957256,3.208606586405209,0.8524176498934569,6.4464084773192685,4.28776504213296,1.027289201491153,9.152212886012089,5.6699270335263865,1.0881285602381003,12.435754974149717,7.584405742475262,1.2392617346898354,17.349664285657695,0.1826843129755441,0.04008732465081311,0.4058940196283314,0.18158138581224145,0.04020561511699585,0.3888207623426244,0.00022361326529535939,2.1065568372131572e-5,0.000553873979841545,0.00022078370805794553,2.2570251827283828e-5,0.0005597422453166389
2022-05-23,0.057203085729790784,0.00999299193347064,0.13595116932744938,0.22527597058949203,0.04152772584329811,0.51397302245017,0.5919994614460198,0.1191302335577909,1.279069711729669,1.1798244811034757,0.28254306176243915,2.4487065352744724,1.9571478723920226,0.4932985423153342,3.9337035188631355,2.9558275223799946,0.7130069911520208,6.194604739128752,4.283345414611503,0.905693753011798,9.275369552903175,5.96079889668871,1.027289201491153,13.821709256426422,8.04523395705757,1.2435754974149718,19.11997327275519,10.321934914405109,1.2392617346898354,25.057872275428448,0.05737309172851584,0.01001086848433553,0.13393111907971744,0.22660539713759242,0.04160477171684782,0.520830105196095,0.5978623707975425,0.1239926920703538,1.2985195457799206,1.1850358309093163,0.2699855923507752,2.4361490658628084,1.9594311399307394,0.4932985423153342,4.01826898326005,2.9669504314419664,0.7130069911520208,6.368578444969842,4.2656577483762135,0.8524176498934569,9.429870251946367,5.96023855712426,1.027289201491153,13.541539474201562,7.971163491492793,1.2435754974149718,18.66917715494225,10.267407398078756,1.2392617346898354,24.785234693796706,0.2010084919411334,0.04371489894708341,0.438542188294764,0.2002940832423154,0.04389890633892322,0.4457053331913848,0.0002807897319076899,3.460771946850187e-5,0.0006923048577155525,0.00027748243767326526,3.611240292365412e-5,0.00066055603681184
2022-05-30,0.06238683856683579,0.010547165010282076,0.15114623756260154,0.2498840373719043,0.04468660665883655,0.5910188959998882,0.6846098462762925,0.13104325691357,1.6024232028151013,1.4602202155965203,0.3013792658799351,3.235431993915218,2.6291050524899044,0.5355812745137914,5.882937473212009,4.271082998678481,0.7985678300902633,9.982097876128291,6.37086296309746,1.01224595924848,14.869360380328986,8.84500671980253,1.214069056307726,21.67580215146332,11.458926420930256,1.3990224345918432,28.291342566190607,13.869817334648637,1.7349664285657695,33.21221448968759,0.06255067715551245,0.010904696027579774,0.14837537217854446,0.25128781318798016,0.04468660665883655,0.581773391173922,0.6892632190728153,0.13104325691357,1.5542848635407283,1.460600079046223,0.2951005311741031,3.3157997981498686,2.628654036679788,0.521487030447639,5.89280344405832,4.254355854666055,0.7985678300902633,9.782455918605725,6.339163681742047,1.01224595924848,15.236965491845543,8.81073261644369,1.214069056307726,21.862582006279894,11.349180883283386,1.3990224345918432,27.685099511200796,13.828797771230404,1.7349664285657695,33.21221448968759,0.24578097337281607,0.047289899702828056,0.5705937787100818,0.2454838014349948,0.0463961495138919,0.5754305444384423,0.0003185264406211809,4.664518710971991e-5,0.0007479781455561859,0.00031496861659147335,5.100876912966145e-5,0.0007658838786724978
2022-06-06,0.07309927228986371,0.011262227044877471,0.17458239574646559,0.29871879386265765,0.048538900336322466,0.7149857065413848,0.8531608925411446,0.14344252612060537,2.004062275952796,1.919318157919602,0.33277293940909497,4.49243468202278,3.634820979196309,0.6187373145040908,8.541111904088359,6.028203167533698,0.9383172003560595,14.49115408817367,8.89993285422823,1.2253503717218444,21.262492754529912,11.809623270414885,1.494238838532586,27.73680844026113,14.489597631599132,1.8498185524047712,33.88743230455798,16.524068118007325,2.2306711224417035,36.68214734681913,0.07287921194871698,0.011440992553526319,0.17644155703641357,0.29913946433223915,0.048538900336322466,0.7150627524149344,0.8526940965239387,0.14101129686432393,1.991176760894505,1.9098529653505603,0.326494204703263,4.503108531022695,3.6055824698810754,0.6060524948445535,8.558024996967738,5.9830413047141295,0.9411692283206675,14.51967436781975,8.81961912877733,1.2253503717218444,21.47559716700328,11.746258204668363,1.5782897732000445,28.119707142635097,14.300496432523468,1.8653632461224576,33.26564455585049,16.40299224652813,2.2306711224417035,36.7069325815129,0.3109653290643618,0.053086132545781706,0.7371073249399676,0.3122709272263909,0.05057574598568158,0.7302990514418951,0.00033736206811277677,5.552281949511822e-5,0.0007673885621276501,0.0003338125198420726,5.868265475093795e-5,0.0008051561168519716
2022-06-13,0.08777064696742906,0.012334820096770564,0.20954892923818047,0.3639808862823142,0.05308460687575586,0.8629908296303934,1.0685106707601582,0.16046113091457548,2.5384464664834585,2.4682177033728454,0.37672408234991883,5.8272936804826605,4.75401671200134,0.7329006914399251,11.24720676478962,7.797187772721686,1.1408111858432333,18.56955407756323,11.117790388993209,1.598283093550232,25.737685416470562,14.028754725490593,1.9611884755740192,31.304303667257663,16.275527492824207,2.4871509948299435,34.97556086479608,17.652292001268954,2.9742281632556047,35.938590306005224,0.08704226690243932,0.01303200558050107,0.2115689794859124,0.361984627698641,0.054702570220299916,0.8761656740073952,1.0609799381388265,0.16289236017085693,2.575644274104564,2.445950170738612,0.37609620887933587,5.8781514315999,4.6960682275233525,0.690617959241468,11.486808913914212,7.705024489045374,1.0837706265510716,18.53818176995254,11.000636238235975,1.5929554832383979,26.21717034453563,13.9071143450413,2.054578402982306,31.285625681776022,16.00504982213645,2.4871509948299435,34.664666990442335,17.465535257851194,2.9742281632556047,35.938590306005224,0.3831128530477539,0.059539534645306036,0.9161070870446967,0.38661523660064745,0.060288707597796684,0.9063284085069244,0.0003546869934153999,6.169202166124245e-5,0.0007982345729582707,0.0003521734197035681,6.30462367708795e-5,0.0008111748506725806
2022-06-20,0.10300897645567422,0.014480006200556748,0.244247314466922,0.4310712772813056,0.06240715757527174,1.0264821733028953,1.2825852692342523,0.1872046527336714,3.032715374285476,2.991434084511883,0.43323269470240666,6.9719070173558295,5.747449505004091,0.8456546439691444,13.382484740811703,9.192984518740705,1.36897342301188,20.968109595798623,12.612078529256438,2.02449191849696,27.815453438085864,15.178618206705123,2.6149179674320258,31.66852438414999,16.805679272065927,3.108938743537429,32.64385680714301,17.55761240473865,3.965637551007473,32.49344268356746,0.10195104217549034,0.013764944165961353,0.24666064883368138,0.42720588580531615,0.060095781368780195,1.043278173736734,1.2691101810813123,0.18209907129548034,3.0438990288643715,2.9549734720751166,0.4269539599965747,7.044112466472893,5.65895174651272,0.8301509754963773,13.335973735393404,9.08870011621481,1.3119328637197183,21.281832671905512,12.479607498852683,1.9712158153786192,28.188386159914252,14.966109426887565,2.6149179674320258,31.659185391409167,16.51639252197977,3.108938743537429,32.95475068149675,17.340741601167927,3.9408523163136775,32.71650979581165,0.4479686241110143,0.06846389314953624,1.048184964230277,0.45318891381750936,0.07055369138543105,1.038564006314082,0.0003785828713666728,6.470138857154697e-5,0.0008486414687058719,0.00037823679417198783,6.470138857154697e-5,0.0008490928737424171
2022-06-27,0.11458216610284636,0.01573136476109869,0.26727231198089374,0.48095770994601267,0.06625945125275765,1.1142374232760244,1.4387564961261192,0.20884259311457623,3.307687403170907,3.3632356388524296,0.48346257234906254,7.63996439005635,6.384812363041603,0.9851876602240529,14.53398448101636,9.940871811899882,1.6541762194726883,21.84938623686252,13.096118564138125,2.392097030013514,27.17081259035394,15.192720085743773,3.1752575318817455,29.511217061018574,16.161196270530617,4.041620366598658,29.69036500078245,16.48936878943601,4.709194591821374,28.775657479497955,0.11309269188478414,0.015195068235152143,0.26841641123624627,0.47530755080924403,0.06464148790821356,1.1241763409639383,1.4198743541072092,0.19936079901507864,3.3422108586101036,3.3114486349987278,0.48346257234906254,7.72975029634975,6.26959896492284,0.9429049280255964,14.587542608467741,9.803104601069489,1.5942836322159195,22.160257285004807,12.946013143602201,2.397424640325348,27.6023490256125,14.937999058737672,3.2593084665492036,29.884776770651722,15.979012460159325,3.8861734294217865,29.69036500078245,16.324670904895733,4.709194591821374,28.998724591742146,0.4890833014606244,0.07699395009982397,1.1160705484340314,0.4959266020800721,0.07826885845757119,1.1079216496525541,0.00040714176334546266,7.056965404664078e-5,0.000901756794672746,0.000409512392129055,6.319670511639471e-5,0.0009089792752574772
2022-07-04,0.11827242249788454,0.016607315753478045,0.27317157376630574,0.4972521417430425,0.06780036872375202,1.1527603600508833,1.4904128241343308,0.22099873939598347,3.467905411159855,3.4691735901765797,0.5211349805840544,7.9576683661714505,6.495945477503214,1.042974060895278,14.507205417290669,9.89265827915818,1.7967776177030925,21.162047497391978,12.629792833543286,2.658477545605219,25.14632067185698,14.202740160252231,3.5394782487740635,26.242569601728544,14.758831726789474,4.352514240952401,25.648744634183792,14.835821856839363,4.709194591821374,25.528791734610607,0.11676364160488827,0.016088895778396388,0.27851666247490636,0.49134233801241134,0.06780036872375202,1.1581535711993638,1.4695711113348582,0.21151694529648588,3.4333819557206584,3.413870494887612,0.5148562458782224,7.962063480465534,6.392536008789854,1.0147855727629733,14.729894473535877,9.76127961096851,1.7682573380570117,21.364541482879147,12.484748642803602,2.7117536487235605,25.63646082054571,13.976783230887882,3.5488172415148918,26.429349456545115,14.603851130424133,4.19706730377553,26.115085445714406,14.711399978676505,4.709194591821374,25.528791734610607,0.49579306528713696,0.08331591834803422,1.1259543740528546,0.5026375488112466,0.08305305064540594,1.107934793037686,0.00042463671787851785,6.771075548185148e-5,0.0009586338292775016,0.0004292192313411841,6.620607202669923e-5,0.0009557749307127122
2022-07-11,0.11454194386340039,0.016607315753478045,0.26505561967364794,0.4817512824435747,0.06934128619474637,1.121942010630996,1.4420046184125108,0.21394817455276732,3.335646539618143,3.3373358581908725,0.5148562458782224,7.565875320527537,6.180100515102772,1.042974060895278,13.856051341434428,9.243893217908957,1.7967776177030925,19.351009739865834,11.559129627225547,2.663805155917053,22.226790220971882,12.694679612463217,3.6328681761823503,22.880532215030225,12.996063459203752,4.352514240952401,22.228912016292618,12.919303584141533,4.684409357127579,21.811006530541103,0.11323749194678973,0.01591013026974754,0.2727425365455484,0.4765657099243109,0.06702990998825484,1.1390461945590336,1.4244450651090184,0.20665448678392298,3.3738168389417624,3.296709305276787,0.5085775111723905,7.724099435114502,6.102124109806784,1.0147855727629733,13.903971771259343,9.141334292301652,1.7397370584109308,19.596284144822135,11.421144520149042,2.610529052798712,22.58906772217661,12.550952514181864,3.4554273141066054,22.79648128036276,12.95043978314234,4.1815226100578435,22.38435895346949,12.852507376641752,4.21348989794544,21.811006530541103,0.4732081294465715,0.08109468626082522,1.0736437012298263,0.47866802306401224,0.08514284888130079,1.048618695939614,0.0004267681019927411,6.169202166124245e-5,0.0009754862839752065,0.00043160866866796593,6.169202166124245e-5,0.0009571291458223493
2022-07-18,0.10684170896110554,0.01573136476109869,0.25368613332358125,0.44929031499960737,0.06625945125275765,1.0613069081473676,1.343544695991625,0.19936079901507864,3.160598033165881,3.1031045206224577,0.4897413070548945,7.177221642236536,5.690980916153052,1.0006913286968209,12.75670030427454,8.40548255715312,1.7682573380570117,17.314661773135672,10.349735448387644,2.663805155917053,19.664209660979683,11.24774277216293,3.4554273141066054,19.611884755740192,11.384545061491124,4.041620366598658,19.27542020993206,11.266376282412232,4.21348989794544,19.084630714223465,0.10572084922187726,0.014301240691907899,0.25189847823709277,0.44494955048381635,0.06225306582817231,1.0587643943202272,1.3306713370796146,0.18963588198995285,3.1946352427538214,3.0698994321306654,0.4771838376432305,7.233102381118441,5.6249705240692265,0.9569991720917481,12.775022821560537,8.32059194478656,1.6826964991187692,17.713945688180804,10.245367562378814,2.50397684656203,19.60560594754951,11.140391050607104,3.2593084665492036,19.705274683148478,11.386565871674424,3.8706287357041003,19.897207958639548,11.17975188715741,3.717785204069506,19.332483061161433,0.4371437321167816,0.075311596803003,0.9928118826716295,0.4415589237670519,0.08083181855819693,0.9781307214798397,0.0004182320327516624,5.5673287840633436e-5,0.0009601385127326539,0.0004231252633478174,5.4168604385481184e-5,0.0009539693105665297
